"","local","campanha","x","y","altitude","month","tas","pr","fcover","connect","1","2","3","4","5"
"1",1,1,-49.481069,-28.116404,1700,2,15,288,0.788011184900384,0.998594243998164,2,3,1,2,1
"2",1,2,-49.481069,-28.116404,1700,5,9,158,0.788011184900384,0.998594243998164,5,2,2,0,1
"3",1,3,-49.481069,-28.116404,1700,8,9,136,0.788011184900384,0.998594243998164,2,1,0,1,0
"4",1,4,-49.481069,-28.116404,1700,11,13,198,0.788011184900384,0.998594243998164,3,4,0,2,0
"5",2,1,-49.505707,-28.1223943,1600,2,16,279,0.720844972067039,0.998316760685435,2,2,1,2,0
"6",2,2,-49.505707,-28.1223943,1600,5,9,155,0.720844972067039,0.998316760685435,5,3,1,0,0
"7",2,3,-49.505707,-28.1223943,1600,8,9,134,0.720844972067039,0.998316760685435,4,4,2,1,0
"8",2,4,-49.505707,-28.1223943,1600,11,13,193,0.720844972067039,0.998316760685435,2,5,0,1,1
"9",3,1,-49.64326,-28.155163,1530,2,16,220,0.611557262569832,0.9987222911941,0,3,1,3,1
"10",3,2,-49.64326,-28.155163,1530,5,10,128,0.611557262569832,0.9987222911941,1,6,2,1,0
"11",3,3,-49.64326,-28.155163,1530,8,10,118,0.611557262569832,0.9987222911941,5,1,0,2,0
"12",3,4,-49.64326,-28.155163,1530,11,14,159,0.611557262569832,0.9987222911941,0,3,1,4,1
"13",4,1,-49.5769164,-28.1685235,1440,2,17,261,0.478587659500087,0.998511941560429,2,1,2,2,2
"14",4,2,-49.5769164,-28.1685235,1440,5,10,147,0.478587659500087,0.998511941560429,2,3,3,1,0
"15",4,3,-49.5769164,-28.1685235,1440,8,10,131,0.478587659500087,0.998511941560429,3,0,3,0,2
"16",4,4,-49.5769164,-28.1685235,1440,11,14,184,0.478587659500087,0.998511941560429,1,2,2,1,1
"17",5,1,-49.6206708,-28.1436711,1380,2,17,232,0.639972023080958,0.998509092527478,1,3,1,2,3
"18",5,2,-49.6206708,-28.1436711,1380,5,10,134,0.639972023080958,0.998509092527478,5,1,2,1,0
"19",5,3,-49.6206708,-28.1436711,1380,8,10,122,0.639972023080958,0.998509092527478,3,2,1,1,2
"20",5,4,-49.6206708,-28.1436711,1380,11,14,167,0.639972023080958,0.998509092527478,1,0,0,0,2
"21",6,1,-49.4072178,-28.0869839,1270,2,18,297,0.801609517144857,0.998896646615388,0,0,0,3,3
"22",6,2,-49.4072178,-28.0869839,1270,5,11,159,0.801609517144857,0.998896646615388,6,3,0,0,2
"23",6,3,-49.4072178,-28.0869839,1270,8,11,134,0.801609517144857,0.998896646615388,1,2,0,2,1
"24",6,4,-49.4072178,-28.0869839,1270,11,15,199,0.801609517144857,0.998896646615388,2,2,3,0,1
"25",7,1,-49.445303,-28.073718,1100,2,18,254,0.729833770778653,0.998953783377284,0,2,2,1,4
"26",7,2,-49.445303,-28.073718,1100,5,12,140,0.729833770778653,0.998953783377284,4,4,2,0,0
"27",7,3,-49.445303,-28.073718,1100,8,11,119,0.729833770778653,0.998953783377284,3,1,1,2,2
"28",7,4,-49.445303,-28.073718,1100,11,16,174,0.729833770778653,0.998953783377284,1,0,3,3,2
"29",8,1,-49.427611,-28.0927732,1040,2,18,302,0.824659448131331,0.998865198315275,1,0,1,1,2
"30",8,2,-49.427611,-28.0927732,1040,5,12,163,0.824659448131331,0.998865198315275,2,3,2,0,2
"31",8,3,-49.427611,-28.0927732,1040,8,12,138,0.824659448131331,0.998865198315275,2,1,3,2,0
"32",8,4,-49.427611,-28.0927732,1040,11,16,204,0.824659448131331,0.998865198315275,3,1,2,1,4
"33",9,1,-49.484511,-28.077913,1020,2,18,250,0.785202029036208,0.998946825583451,1,0,3,0,2
"34",9,2,-49.484511,-28.077913,1020,5,12,139,0.785202029036208,0.998946825583451,1,3,2,3,1
"35",9,3,-49.484511,-28.077913,1020,8,12,121,0.785202029036208,0.998946825583451,3,4,1,4,1
"36",9,4,-49.484511,-28.077913,1020,11,16,174,0.785202029036208,0.998946825583451,3,2,3,3,3
"37",10,1,-49.398047,-28.118306,820,2,21,316,0.767629046369204,0.998893231893604,2,1,2,3,6
"38",10,2,-49.398047,-28.118306,820,5,14,167,0.767629046369204,0.998893231893604,2,2,2,0,1
"39",10,3,-49.398047,-28.118306,820,8,14,138,0.767629046369204,0.998893231893604,1,2,1,3,1
"40",10,4,-49.398047,-28.118306,820,11,18,209,0.767629046369204,0.998893231893604,2,1,0,0,2
"41",11,1,-49.423877,-28.141193,770,2,21,314,0.833624606780846,0.998849428589554,2,1,2,2,5
"42",11,2,-49.423877,-28.141193,770,5,15,167,0.833624606780846,0.998849428589554,1,0,2,1,1
"43",11,3,-49.423877,-28.141193,770,8,14,139,0.833624606780846,0.998849428589554,1,1,1,2,2
"44",11,4,-49.423877,-28.141193,770,11,18,208,0.833624606780846,0.998849428589554,0,4,0,1,2
"45",12,1,-49.4746439,-28.1511777,680,2,21,286,0.877903930131004,0.998722963666907,2,3,3,2,5
"46",12,2,-49.4746439,-28.1511777,680,5,14,155,0.877903930131004,0.998722963666907,0,2,1,1,0
"47",12,3,-49.4746439,-28.1511777,680,8,14,132,0.877903930131004,0.998722963666907,2,3,3,1,2
"48",12,4,-49.4746439,-28.1511777,680,11,18,194,0.877903930131004,0.998722963666907,0,0,2,1,1
"49",13,1,-49.445153,-28.15996,550,2,22,268,0.835604472396925,0.998858184572279,1,1,0,1,6
"50",13,2,-49.445153,-28.15996,550,5,15,143,0.835604472396925,0.998858184572279,0,2,0,1,2
"51",13,3,-49.445153,-28.15996,550,8,15,120,0.835604472396925,0.998858184572279,2,2,2,0,1
"52",13,4,-49.445153,-28.15996,550,11,19,179,0.835604472396925,0.998858184572279,0,3,2,3,2
"53",14,1,-49.3879994,-28.1863437,450,2,22,268,0.844137690022715,0.998837003971942,0,4,0,2,4
"54",14,2,-49.3879994,-28.1863437,450,5,16,138,0.844137690022715,0.998837003971942,0,1,0,1,3
"55",14,3,-49.3879994,-28.1863437,450,8,15,112,0.844137690022715,0.998837003971942,4,0,2,1,2
"56",14,4,-49.3879994,-28.1863437,450,11,20,173,0.844137690022715,0.998837003971942,1,1,1,3,1
"57",15,1,-49.466536,-28.192077,410,2,23,250,0.671443551205872,0.998807206121081,0,0,0,3,10
"58",15,2,-49.466536,-28.192077,410,5,16,132,0.671443551205872,0.998807206121081,2,0,2,2,4
"59",15,3,-49.466536,-28.192077,410,8,15,112,0.671443551205872,0.998807206121081,1,5,3,3,1
"60",15,4,-49.466536,-28.192077,410,11,20,169,0.671443551205872,0.998807206121081,1,2,5,1,2
